Monthly Demurrage
2070000
1750000
1670000
2080000
2250000
2060000
1925000
2415000
1770000
2225000
1890000
2165000
2085000
1770000
2385000
2070000
2130000
1875000
2090000
2240000
1755000
2015000
2375000
1670000
2295000
1820000
2290000
1925000
2030000
2015000
2045000
2150000
2135000
1830000
2095000
1990000
1965000
1550000
2140000
2040000
1700000
2100000
2165000
2240000
2365000
1635000
1830000
1805000
2065000
1940000
1935000
2020000
1715000
1840000
1695000
1965000
1935000
1635000
1665000
2110000
2110000
1940000
1995000
2130000
1760000
2375000
2190000
2020000
1595000
2080000
1785000
2285000
2050000
1795000
2115000
2185000
2200000
2305000
2400000
1655000
1825000
2445000
1650000
2410000
2025000
1995000
1860000
2210000
1885000
1915000
1810000
2340000
1865000
2365000
2100000
2175000
1630000
1795000
2175000
1980000
2325000
1920000
2050000
1910000
1920000
2330000
2240000
1895000
2070000
1895000
2250000
1715000
2465000
1625000
2150000
2260000
2090000
2315000
2365000
2330000
1890000
1900000
2180000
1735000
2165000
2145000
2095000
2005000
2240000
2175000
2315000
1775000
2395000
1555000
2075000
2050000
1975000
1895000
2250000
1725000
1925000
1740000
2085000
2205000
2335000
1790000
2360000
1995000
1640000
2405000
1760000
1925000
1920000
2210000
1970000
2205000
1505000
2295000
1850000
2125000
1945000
2135000
1950000
1930000
2135000
2205000
2265000
1960000
2300000
1620000
2175000
1770000
1865000
2135000
1780000
2410000
1610000
2130000
1795000
2365000
2130000
1965000
2210000
2340000
1875000
1765000
2125000
1665000
1695000
1870000
1830000
2105000
2400000
1915000
2250000
1910000
1540000
1785000
1705000
1870000
2020000
1850000
2170000
2135000
2130000
1575000
2805000
1705000
2355000
1675000
2275000
1590000
2420000
1970000
2200000
1735000
2235000
1975000
2170000
1810000
2460000
1585000
1860000
2285000
2420000
1800000
2145000
1885000
2385000
1990000
1905000
2140000
2170000
1900000
2280000
2510000
1935000
2370000
2060000
2060000
1705000
2350000
1410000
1815000
1965000
1975000
1705000
1955000
2060000
2075000
1785000
2045000
1605000
2255000
2105000
1970000
1845000
1840000
1810000
2190000
1790000
1950000
2085000
1845000
2120000
1810000
1835000
1540000
2065000
2360000
2240000
2040000
1660000
1945000
2170000
2555000
1945000
2010000
2080000
1440000
2445000
1595000
2170000
1880000
2345000
2025000
2070000
1755000
2210000
2010000
2445000
1655000
2060000
1845000
2550000
2080000
2135000
1865000
2065000
2285000
2045000
1830000
1940000
1875000
2270000
1935000
2000000
2295000
2085000
2425000
2080000
1990000
2555000
2280000
2125000
1730000
2220000
1720000
