,TrainA,TrainB,TrainC,TrainHC,Crews,Crew Wages,Demurrage Fees,Total Cost
147,11,17,20,-1,2,225000,0,225000
148,20,5,16,-1,1,216000,0,216000
149,20,11,7,-1,1,216000,0,216000
150,19,9,18,-1,2,255000,15000,270000
151,18,10,20,12,2,324000,75000,399000
152,17,15,12,-1,2,234000,0,234000
153,16,9,8,-1,2,237000,15000,252000
154,14,6,8,-1,2,243000,0,243000
155,10,5,15,-1,1,198000,0,198000
156,9,16,5,-1,1,216000,0,216000
157,10,8,15,-1,2,225000,0,225000
158,18,12,16,13,2,348000,120000,468000
159,15,20,5,-1,1,216000,0,216000
160,18,6,17,-1,2,264000,15000,279000
161,12,20,18,-1,2,216000,0,216000
162,8,12,9,-1,2,300000,30000,330000
163,10,14,9,-1,2,210000,15000,225000
164,18,7,17,-1,2,237000,15000,252000
165,6,13,14,13,2,300000,45000,345000
166,15,14,11,-1,2,240000,15000,255000
167,16,8,10,-1,2,243000,0,243000
168,9,20,17,-1,2,216000,0,216000
169,6,12,19,-1,1,216000,0,216000
170,18,17,13,-1,2,210000,15000,225000
171,6,7,11,-1,2,312000,45000,357000
172,18,14,9,11,2,336000,75000,411000
173,19,7,5,-1,2,252000,0,252000
174,18,13,12,-1,2,210000,15000,225000
175,7,19,9,-1,2,252000,0,252000
176,10,6,13,-1,2,252000,0,252000
177,6,8,12,-1,2,234000,0,234000
178,9,19,13,-1,1,162000,0,162000
179,13,19,7,12,2,360000,235000,595000
180,6,17,16,-1,2,237000,15000,252000
181,17,11,8,-1,2,225000,0,225000
182,6,9,11,-1,2,276000,0,276000
183,17,9,8,-1,2,210000,15000,225000
184,14,15,9,-1,2,228000,15000,243000
185,7,9,8,-1,2,279000,30000,309000
186,8,16,10,13,2,336000,15000,351000
187,10,9,17,-1,2,255000,15000,270000
188,13,18,10,-1,2,216000,0,216000
189,11,13,7,-1,2,264000,15000,279000
190,5,19,18,-1,2,210000,15000,225000
191,11,19,16,-1,2,216000,0,216000
192,13,10,12,-1,2,267000,15000,282000
193,19,8,14,11,2,360000,105000,465000
194,10,16,14,-1,2,252000,0,252000
195,13,19,17,-1,2,198000,0,198000
196,20,19,5,-1,2,255000,15000,270000
197,9,16,14,-1,2,243000,0,243000
198,12,10,17,-1,2,216000,0,216000
199,7,13,20,-1,1,216000,0,216000
200,19,7,8,11,2,384000,245000,629000
201,12,8,12,-1,1,216000,0,216000
202,12,6,19,-1,1,180000,0,180000
203,7,20,11,-1,1,207000,0,207000
204,6,8,17,-1,2,252000,0,252000
205,15,18,13,-1,2,171000,0,171000
206,19,14,20,-1,2,228000,15000,243000
207,7,16,6,11,2,420000,385000,805000
208,14,17,15,-1,2,261000,30000,291000
209,15,18,11,-1,2,234000,0,234000
210,11,20,7,-1,1,216000,0,216000
211,11,14,5,-1,2,264000,15000,279000
212,11,13,5,-1,2,252000,0,252000
213,5,11,20,-1,1,198000,0,198000
214,17,9,19,12,2,336000,75000,411000
215,6,11,9,-1,2,312000,75000,387000
216,6,14,16,-1,2,243000,0,243000
217,19,6,17,-1,2,198000,0,198000
218,5,13,12,-1,2,264000,15000,279000
219,16,11,13,-1,2,180000,0,180000
220,8,15,19,-1,1,216000,0,216000
221,14,10,17,11,2,372000,165000,537000
222,5,9,17,-1,2,264000,30000,294000
223,20,7,14,-1,1,216000,0,216000
224,19,12,8,-1,1,216000,0,216000
225,10,15,17,-1,2,234000,0,234000
226,8,17,19,-1,2,234000,0,234000
227,6,8,9,-1,2,276000,15000,291000
228,18,15,14,11,2,318000,15000,333000
229,13,11,6,-1,2,264000,15000,279000
230,18,6,10,-1,1,207000,0,207000
231,8,13,17,-1,1,198000,0,198000
232,8,9,18,-1,2,264000,15000,279000
233,5,6,18,-1,2,264000,15000,279000
234,6,11,9,-1,2,240000,0,240000
235,5,12,12,13,2,288000,45000,333000
236,10,15,7,-1,2,234000,0,234000
237,7,13,8,-1,2,246000,15000,261000
238,12,16,9,-1,2,207000,0,207000
239,9,17,19,-1,2,234000,0,234000
240,15,5,12,-1,2,252000,0,252000
241,12,7,6,-1,2,246000,15000,261000
242,14,16,6,11,2,336000,30000,366000
243,14,17,9,-1,2,252000,0,252000
244,7,19,13,-1,1,216000,0,216000
245,10,11,16,-1,2,237000,15000,252000
246,10,7,13,-1,2,252000,0,252000
247,15,6,10,-1,1,207000,0,207000
248,5,12,6,-1,2,264000,15000,279000
249,7,10,14,12,2,348000,105000,453000
250,9,5,17,-1,1,216000,0,216000
251,12,11,20,-1,2,246000,15000,261000
252,5,11,11,-1,1,216000,0,216000
253,7,17,18,-1,2,183000,15000,198000
254,11,5,6,-1,2,264000,15000,279000
255,8,20,19,-1,2,192000,15000,207000
256,5,20,14,12,2,360000,75000,435000
257,7,14,20,-1,1,216000,0,216000
258,13,5,20,-1,1,216000,0,216000
259,9,19,11,-1,2,252000,0,252000
260,9,10,20,-1,2,264000,15000,279000
261,11,7,5,-1,2,252000,0,252000
262,19,5,18,-1,2,201000,15000,216000
263,16,15,5,12,2,360000,120000,480000
264,19,13,17,-1,2,234000,0,234000
265,13,9,20,-1,1,216000,0,216000
266,14,17,16,-1,2,240000,15000,255000
267,13,9,8,-1,2,300000,30000,330000
268,19,5,20,-1,2,192000,15000,207000
269,16,7,5,-1,2,252000,0,252000
270,6,5,20,12,2,360000,155000,515000
271,14,6,19,-1,1,216000,0,216000
272,9,14,5,-1,2,288000,30000,318000
273,15,6,14,-1,2,246000,15000,261000
274,8,16,7,-1,2,228000,15000,243000
275,12,10,18,-1,2,198000,0,198000
276,6,12,18,-1,1,216000,0,216000
277,16,8,14,13,2,348000,120000,468000
278,6,14,11,-1,2,300000,45000,345000
279,14,20,17,-1,2,171000,0,171000
280,9,11,8,-1,2,312000,60000,372000
281,7,19,15,-1,1,198000,0,198000
282,10,16,8,-1,2,243000,0,243000
283,20,19,11,-1,2,210000,15000,225000
284,5,14,12,11,2,372000,280000,652000
285,9,17,11,-1,2,252000,0,252000
286,7,15,18,-1,2,252000,0,252000
287,15,9,20,-1,1,189000,0,189000
288,6,14,17,-1,2,252000,0,252000
289,16,13,10,-1,2,225000,0,225000
290,19,12,15,-1,2,216000,0,216000
291,9,10,11,12,2,384000,365000,749000
292,14,18,6,-1,1,207000,0,207000
293,14,15,18,-1,2,216000,15000,231000
294,9,13,12,-1,2,276000,15000,291000
295,17,20,19,-1,2,168000,15000,183000
296,18,13,11,-1,2,252000,0,252000
297,17,19,11,-1,2,234000,0,234000
298,6,18,5,13,2,384000,170000,554000
299,5,16,10,-1,2,252000,15000,267000
300,5,11,18,-1,1,216000,0,216000
301,18,8,20,-1,2,234000,0,234000
302,19,14,18,-1,2,201000,15000,216000
303,6,19,11,-1,1,216000,0,216000
304,12,17,11,-1,2,264000,15000,279000
305,11,6,13,12,2,360000,310000,670000
306,19,13,10,-1,1,207000,0,207000
307,15,17,8,-1,2,234000,0,234000
308,19,8,6,-1,2,243000,0,243000
309,16,20,6,-1,1,171000,0,171000
310,5,14,16,-1,2,252000,0,252000
311,19,5,15,-1,1,198000,0,198000
312,9,12,10,13,2,372000,180000,552000
313,20,11,17,-1,2,252000,0,252000
314,10,19,7,-1,2,252000,0,252000
315,18,5,9,-1,1,216000,0,216000
316,20,18,8,-1,2,225000,0,225000
317,10,19,16,-1,2,225000,0,225000
318,10,16,9,-1,2,255000,15000,270000
319,16,11,13,13,2,300000,60000,360000
320,6,14,20,-1,1,216000,0,216000
321,17,5,13,-1,1,216000,0,216000
322,15,5,20,-1,1,216000,0,216000
323,13,12,18,-1,2,219000,15000,234000
324,11,12,19,-1,2,246000,15000,261000
325,16,14,6,-1,2,252000,0,252000
326,14,18,17,12,2,348000,45000,393000
327,13,15,18,-1,2,225000,0,225000
328,20,12,10,-1,2,252000,0,252000
329,19,12,8,-1,1,207000,0,207000
330,19,13,8,-1,1,216000,0,216000
331,16,17,6,-1,2,264000,15000,279000
332,20,15,12,-1,2,189000,0,189000
333,11,17,18,13,2,348000,165000,513000
334,6,10,16,-1,1,216000,0,216000
335,5,12,16,-1,1,216000,0,216000
336,7,19,8,-1,2,264000,15000,279000
337,5,12,20,-1,1,207000,0,207000
338,7,18,16,-1,2,225000,0,225000
339,11,9,16,-1,2,216000,0,216000
340,5,13,9,11,2,360000,345000,705000
341,19,9,7,-1,2,252000,0,252000
342,15,20,11,-1,1,180000,0,180000
343,19,17,12,-1,2,243000,0,243000
344,14,5,7,-1,2,252000,0,252000
345,7,18,5,-1,2,252000,0,252000
346,9,12,8,-1,2,243000,15000,258000
347,17,18,9,12,2,336000,75000,411000
348,19,18,14,-1,2,237000,15000,252000
349,5,16,6,-1,2,276000,30000,306000
350,14,19,5,-1,1,216000,0,216000
351,18,11,7,-1,1,216000,0,216000
352,11,10,8,-1,2,267000,15000,282000
353,9,17,19,-1,2,198000,0,198000
354,16,9,5,13,2,348000,225000,573000
355,7,9,5,-1,2,312000,75000,387000
356,15,8,11,-1,2,207000,0,207000
357,12,11,12,-1,2,219000,15000,234000
358,20,18,7,-1,2,162000,0,162000
359,10,11,14,-1,2,261000,15000,276000
